0,1,2,3,4,5,6,7,8,9,10,11
60,ACLS,"Axcelis Technologies, Inc.",https://stockanalysis.com/stocks/acls/,6.99,18.55,n/a,2000,358.12%,129.77,"224,776",4.25B
41,TTI,"TETRA Technologies, Inc.",https://stockanalysis.com/stocks/tti/,0.21,21.67,n/a,1990,356.81%,88.41,"191,392",2.72B
62,TNK,Teekay Tankers Ltd.,https://stockanalysis.com/stocks/tnk/,15.89,3.15,$1.00 (2.00%),2007,353.99%,50.05,"219,541",1.71B
63,LNTH,"Lantheus Holdings, Inc.",https://stockanalysis.com/stocks/lnth/,1.49,41.95,n/a,2015,349.86%,62.27,"386,533",4.26B
64,SD,"SandRidge Energy, Inc.",https://stockanalysis.com/stocks/sd/,4.42,3.10,$0.40 (2.92%),2007,349.19%,13.72,"241,529",508.52M
65,CHRD,Chord Energy Corporation,https://stockanalysis.com/stocks/chrd/,22.16,7.53,$1.25 (0.75%),2010,348.69%,167.22,"155,872",6.90B
66,IMGN,"ImmunoGen, Inc.",https://stockanalysis.com/stocks/imgn/,-0.31,n/a,n/a,1989,346.62%,29.69,"2,649,036",8.28B
67,AMPY,Amplify Energy Corp.,https://stockanalysis.com/stocks/ampy/,9.33,0.64,n/a,2011,346.62%,5.93,"345,504",231.65M
68,CHS,"Chico's FAS, Inc.",https://stockanalysis.com/stocks/chs/,0.91,8.34,n/a,1993,346.18%,7.59,"773,639",935.80M
69,HOV,"Hovnanian Enterprises, Inc.",https://stockanalysis.com/stocks/hov/,26.88,5.83,n/a,1959,345.63%,156.73,"39,947",944.69M
70,ASC,Ardmore Shipping Corporation,https://stockanalysis.com/stocks/asc/,3.40,4.16,$0.64 (4.53%),2013,343.38%,14.12,"444,901",583.35M
71,BELFB,Bel Fuse Inc.,https://stockanalysis.com/stocks/belfb/,5.69,11.85,$0.28 (0.42%),1949,341.13%,67.01,"65,930",851.01M
72,AR,Antero Resources Corporation,https://stockanalysis.com/stocks/ar/,2.75,8.33,n/a,2013,334.89%,22.68,"2,646,654",6.82B
73,ANF,Abercrombie & Fitch Co.,https://stockanalysis.com/stocks/anf/,4.00,21.88,n/a,1996,334.34%,87.78,"816,469",4.42B
74,GSM,Ferroglobe PLC,https://stockanalysis.com/stocks/gsm/,0.50,13.41,n/a,2015,333.55%,6.55,"1,172,517",1.23B
75,EYPT,"EyePoint Pharmaceuticals, Inc.",https://stockanalysis.com/stocks/eypt/,-2.66,n/a,n/a,2005,330.04%,22.99,"396,344",811.06M
76,TMDX,"TransMedics Group, Inc.",https://stockanalysis.com/stocks/tmdx/,-1.09,n/a,n/a,2019,326.96%,79.36,"220,403",2.60B
77,NOG,"Northern Oil and Gas, Inc.",https://stockanalysis.com/stocks/nog/,8.14,4.57,$1.60 (4.30%),Nicholas L. O'Grady,324.97%,37.25,"628,173",3.74B
78,PBT,Permian Basin Royalty Trust,https://stockanalysis.com/stocks/pbt/,0.62,22.73,$0.60 (4.27%),1980,324.11%,14.05,"261,143",653.29M
79,TRMD,TORM plc,https://stockanalysis.com/stocks/trmd/,8.10,3.75,$5.84 (19.21%),1889,323.78%,30.41,"306,449",2.61B
80,CYTK,"Cytokinetics, Incorporated",https://stockanalysis.com/stocks/cytk/,-5.55,n/a,n/a,2004,323.08%,86.45,"4,079,532",8.48B
61,STRL,"Sterling Infrastructure, Inc.",https://stockanalysis.com/stocks/strl/,4.19,20.98,n/a,1955,322.78%,65.46,"81,755",692.84M
